index,expr_id,datacase,gougeevent_id,AEsensor,Qinv_quart,M0,Tw,Tshift,stf_type,peakSTFamp,fitting_flag,error_fraction,error_thresh,RMSE,SNR_sensor,SNR_thresh,validflag
fb03-087__OL22,fb03-087,fb03-087__0049,49,22,50,3.99883107e-02,1.65810064e-06,-5.40382961e-08,cosine,4.82338330e+04,True,3.93957695e-02,6.00000000e-02,1.90020897e+03,1.78712046e+00,4.50000000e+00,0
fb03-087__OL23,fb03-087,fb03-087__0050,50,23,50,2.52487515e-01,2.54648818e-06,4.29177871e-08,cosine,1.98302447e+05,True,2.23360334e-02,6.00000000e-02,4.42929007e+03,2.49450039e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0050,50,7,50,2.48050747e-01,2.65419977e-06,4.13631006e-08,cosine,1.86911824e+05,True,1.25590945e-02,6.00000000e-02,2.34744325e+03,2.20589520e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0050,50,8,50,2.52400152e-01,2.18443704e-06,5.64599034e-08,cosine,2.31089308e+05,True,1.28116180e-02,6.00000000e-02,2.96062793e+03,9.97904297e+00,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0050,50,22,50,5.52567434e-01,2.93079166e-06,-1.08419156e-07,cosine,3.77077144e+05,True,3.47714457e-02,6.00000000e-02,1.31115175e+04,1.05137188e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0052,52,23,50,3.03419670e-01,2.62500498e-06,-1.59178045e-08,cosine,2.31176453e+05,True,2.01083567e-02,6.00000000e-02,4.64857857e+03,1.67396167e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0052,52,7,50,4.94566592e-01,2.82532604e-06,-7.81490774e-08,cosine,3.50095235e+05,True,1.53963407e-02,6.00000000e-02,5.39018551e+03,1.89252298e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0052,52,8,50,5.82211829e-01,2.32106741e-06,-4.44565259e-09,cosine,5.01675933e+05,True,1.37678190e-02,6.00000000e-02,6.90698345e+03,2.24532130e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0052,52,22,50,5.44353710e-01,2.63479673e-06,-8.70392152e-08,cosine,4.13203424e+05,True,1.44829972e-02,6.00000000e-02,5.98442405e+03,1.50407021e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0055,55,23,50,3.04131815e-01,2.50676881e-06,-7.94176410e-08,cosine,2.42648380e+05,True,1.37945780e-02,6.00000000e-02,3.34723202e+03,9.66711834e+00,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0055,55,7,50,2.68396927e-01,2.51266585e-06,-1.07842102e-07,cosine,2.13635109e+05,True,1.07818795e-02,6.00000000e-02,2.30338800e+03,5.36460302e+00,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0055,55,8,50,1.73960831e-01,2.84684757e-06,-5.00000000e-07,cosine,1.22212920e+05,True,1.38953005e-01,6.00000000e-02,1.69818525e+04,6.68354236e+00,4.50000000e+00,0
fb03-087__OL22,fb03-087,fb03-087__0055,55,22,50,8.13287379e-01,3.74914217e-06,-5.00000000e-07,cosine,4.33852515e+05,True,1.22501012e-01,6.00000000e-02,5.31473721e+04,6.84468765e+00,4.50000000e+00,0
fb03-087__OL23,fb03-087,fb03-087__0059,59,23,50,4.92864330e-02,2.62681218e-06,-2.40481697e-07,cosine,3.75256486e+04,True,5.12198507e-02,6.00000000e-02,1.92205812e+03,2.30496391e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0059,59,7,50,8.85630670e-02,2.58190593e-06,-1.74635476e-07,cosine,6.86028611e+04,True,2.42390370e-02,6.00000000e-02,1.66286729e+03,1.98239586e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0059,59,8,50,6.08904006e-02,2.07979101e-06,-3.75142079e-08,cosine,5.85543454e+04,True,2.35838980e-02,6.00000000e-02,1.38093971e+03,1.90038955e+00,4.50000000e+00,0
fb03-087__OL22,fb03-087,fb03-087__0059,59,22,50,1.76602896e-01,3.18577616e-06,-2.86625594e-07,cosine,1.10869620e+05,True,5.14625886e-02,6.00000000e-02,5.70563763e+03,7.03395827e+00,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0061,61,23,50,4.65407772e-01,2.58125005e-06,2.45531501e-08,cosine,3.60606500e+05,True,1.24554634e-02,6.00000000e-02,4.49152106e+03,1.56230406e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0061,61,7,50,7.78756451e-01,2.88379596e-06,-5.65186732e-08,cosine,5.40091229e+05,True,9.09422255e-03,6.00000000e-02,4.91170984e+03,1.96457865e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0061,61,8,50,7.94318383e-01,2.41222685e-06,1.43870345e-08,cosine,6.58576572e+05,True,4.48960330e-03,6.00000000e-02,2.95674755e+03,2.51113244e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0061,61,22,50,9.17675559e-01,2.57976865e-06,-6.74390660e-08,cosine,7.11440197e+05,True,2.13199955e-02,6.00000000e-02,1.51679018e+04,2.31256283e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0062,62,23,50,3.69177134e-01,2.48529349e-06,5.68413922e-09,cosine,2.97089366e+05,True,1.36439804e-02,6.00000000e-02,4.05348149e+03,1.59567882e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0062,62,7,50,6.45476924e-01,2.78924996e-06,-1.18332127e-08,cosine,4.62831897e+05,True,1.61722500e-02,6.00000000e-02,7.48503315e+03,2.45379860e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0062,62,8,50,5.84513136e-01,2.37035469e-06,-2.07636510e-08,cosine,4.93186004e+05,True,1.87402445e-02,6.00000000e-02,9.24242629e+03,2.52526672e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0062,62,22,50,7.60957192e-01,2.52085832e-06,-3.26366301e-08,cosine,6.03728412e+05,True,4.35600429e-03,6.00000000e-02,2.62984356e+03,3.18000311e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0069,69,23,50,2.34063642e-01,2.11406483e-06,-1.82242013e-09,cosine,2.21434565e+05,True,1.09222294e-02,6.00000000e-02,2.41855910e+03,3.55564667e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0069,69,7,50,2.29832312e-01,2.33255226e-06,-1.54162071e-08,cosine,1.97065001e+05,True,8.36472830e-03,6.00000000e-02,1.64839519e+03,3.34350901e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0069,69,8,50,2.66527362e-01,1.90060708e-06,1.32149430e-08,cosine,2.80465313e+05,True,5.53309171e-03,6.00000000e-02,1.55184030e+03,2.73004875e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0069,69,22,50,3.00536015e-01,2.10122328e-06,-2.46315293e-08,cosine,2.86058143e+05,True,1.25240023e-02,6.00000000e-02,3.58259284e+03,2.97295460e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0072,72,23,50,5.46611834e-01,2.58242059e-06,1.55712644e-09,cosine,4.23332770e+05,True,8.81224842e-03,6.00000000e-02,3.73051354e+03,1.61204648e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0072,72,7,50,8.34135207e-01,2.85528815e-06,-3.36724343e-09,cosine,5.84273924e+05,True,3.20057602e-03,6.00000000e-02,1.87001311e+03,1.71764005e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0072,72,8,50,9.09991318e-01,2.45847617e-06,1.01436540e-08,cosine,7.40288605e+05,True,6.55554018e-03,6.00000000e-02,4.85299169e+03,2.76873596e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0072,72,22,50,9.43862557e-01,2.52794406e-06,-3.13866556e-08,cosine,7.46743232e+05,True,1.34996504e-02,6.00000000e-02,1.00807726e+04,2.10524679e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0075,75,23,50,2.45905859e-01,2.35450454e-06,1.46782971e-07,cosine,2.08881100e+05,True,4.44149798e-02,6.00000000e-02,9.27744987e+03,1.49094261e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0075,75,7,50,3.37514639e-01,2.92264041e-06,-7.33751215e-08,cosine,2.30965493e+05,True,1.42439430e-02,6.00000000e-02,3.28985931e+03,1.29728254e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0075,75,8,50,2.82947642e-01,2.29423778e-06,9.66741480e-08,cosine,2.46659271e+05,True,1.70278640e-02,6.00000000e-02,4.20008053e+03,6.63574007e+00,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0075,75,22,50,4.63963383e-01,3.49740579e-06,-2.19150312e-07,cosine,2.65318589e+05,True,3.58643437e-02,6.00000000e-02,9.51547704e+03,3.61686737e+00,4.50000000e+00,0
fb03-087__OL23,fb03-087,fb03-087__0076,76,23,50,4.61394247e-01,3.87320955e-06,-5.00000000e-07,cosine,2.38249050e+05,True,1.26169040e-01,6.00000000e-02,3.00596540e+04,5.13121830e+00,4.50000000e+00,0
fb03-087__OL07,fb03-087,fb03-087__0076,76,7,50,4.62706204e-01,2.42951377e-06,-8.28090380e-10,cosine,3.80904368e+05,True,3.26489560e-03,6.00000000e-02,1.24361299e+03,4.35148623e+00,4.50000000e+00,0
fb03-087__OL08,fb03-087,fb03-087__0076,76,8,50,5.75287327e-01,2.44125572e-06,-4.57583085e-08,cosine,4.71304438e+05,True,2.25434128e-02,6.00000000e-02,1.06248105e+04,5.39092678e+00,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0076,76,22,50,1.00577953e+00,2.54643013e-06,-1.13567853e-07,cosine,7.89952287e+05,True,1.31353238e-02,6.00000000e-02,1.03762791e+04,8.96014335e+00,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0077,77,23,50,4.66677202e-01,2.57328141e-06,-9.33664429e-09,cosine,3.62709807e+05,True,1.35192523e-02,6.00000000e-02,4.90356540e+03,9.53750231e+00,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0077,77,7,50,8.03128447e-01,2.90779953e-06,-1.17978001e-09,cosine,5.52396022e+05,True,4.87018832e-03,6.00000000e-02,2.69027266e+03,1.20445951e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0077,77,8,50,5.70090752e-01,2.53353474e-06,-4.95232048e-08,cosine,4.50035867e+05,True,1.24542972e-02,6.00000000e-02,5.60488042e+03,7.18504522e+00,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0077,77,22,50,1.26503593e+00,2.51605423e-06,-3.19938308e-09,cosine,1.00557089e+06,True,2.63629759e-03,6.00000000e-02,2.65098411e+03,6.98627411e+00,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0081,81,23,50,3.90055738e-02,2.76248509e-06,-1.56006978e-07,cosine,2.82394727e+04,True,3.73257729e-02,6.00000000e-02,1.05406015e+03,9.59323009e+00,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0081,81,7,50,6.01167403e-02,2.56282845e-06,-2.04566388e-07,cosine,4.69143518e+04,True,3.52125578e-02,6.00000000e-02,1.65197432e+03,9.54106527e+00,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0081,81,8,50,4.93181909e-02,2.04929926e-06,-1.31756782e-07,cosine,4.81317609e+04,True,2.82446682e-02,6.00000000e-02,1.35946562e+03,4.49197287e+00,4.50000000e+00,0
fb03-087__OL22,fb03-087,fb03-087__0081,81,22,50,3.03520660e-02,1.73716955e-06,-7.05423204e-08,cosine,3.49442759e+04,True,5.50211890e-02,6.00000000e-02,1.92267561e+03,1.32172866e+00,4.50000000e+00,0
