t,LDV
0.0012995,2.85205993652344e-05
0.0012996,3.6786865234375e-05
0.0012997,3.24664306640625e-05
0.0012998,2.52773742675781e-05
0.0012999,3.80896911621094e-05
0.0013,3.52936401367187e-05
0.0013001,4.07527160644531e-05
0.0013002,2.84676818847656e-05
0.0013003,2.40233764648438e-05
0.0013004,2.62462768554687e-05
0.0013005,1.87461242675781e-05
0.0013006,2.76980590820313e-05
0.0013007,4.38572387695313e-05
0.0013008,2.89458312988281e-05
0.0013009,2.54849243164062e-05
0.001301,2.22626647949219e-05
0.0013011,4.2723388671875e-05
0.0013012,3.64522399902344e-05
0.0013013,2.253564453125e-05
0.0013014,3.56614685058594e-05
0.0013015,2.94342956542969e-05
0.0013016,2.21351928710938e-05
0.0013017,3.47602233886719e-05
0.0013018,3.190576171875e-05
0.0013019,2.78987426757812e-05
0.001302,3.94499206542969e-05
0.0013021,3.07794189453125e-05
0.0013022,3.34411010742188e-05
0.0013023,3.48866577148437e-05
0.0013024,5.08395690917969e-05
0.0013025,3.8446533203125e-05
0.0013026,2.12847595214844e-05
0.0013027,2.16856994628906e-05
0.0013028,4.30941772460938e-05
0.0013029,4.05182189941406e-05
0.001303,1.07434387207031e-05
0.0013031,1.91515197753906e-05
0.0013032,4.76110229492187e-05
0.0013033,4.47929382324219e-05
0.0013034,1.38976440429688e-05
0.0013035,4.01531677246094e-05
0.0013036,4.30820922851563e-05
0.0013037,3.41386413574219e-05
0.0013038,2.4081787109375e-05
0.0013039,4.50861511230469e-05
0.001304,2.97683410644531e-05
0.0013041,3.97335815429688e-05
0.0013042,3.05828857421875e-05
0.0013043,3.74477233886719e-05
0.0013044,4.23288269042969e-05
0.0013045,3.77756958007813e-05
0.0013046,4.16795959472656e-05
0.0013047,3.08428344726563e-05
0.0013048,3.70061645507812e-05
0.0013049,2.60853271484375e-05
0.001305,4.17313537597656e-05
0.0013051,5.14863891601562e-05
0.0013052,5.27865905761719e-05
0.0013053,4.12168884277344e-05
0.0013054,3.75052795410156e-05
0.0013055,2.86765747070313e-05
0.0013056,4.85682983398437e-05
0.0013057,3.86312866210938e-05
0.0013058,3.87466735839844e-05
0.0013059,5.53262329101563e-05
0.001306,3.44462890625e-05
0.0013061,2.94128723144531e-05
0.0013062,3.81815795898437e-05
0.0013063,4.63314819335937e-05
0.0013064,3.60964660644531e-05
0.0013065,3.55259704589844e-05
0.0013066,4.45485229492187e-05
0.0013067,3.83564453125e-05
0.0013068,4.28026733398437e-05
0.0013069,5.8099609375e-05
0.001307,4.46044921875e-05
0.0013071,3.00964660644531e-05
0.0013072,3.91902770996094e-05
0.0013073,3.93125305175781e-05
0.0013074,5.6074462890625e-05
0.0013075,3.78126831054688e-05
0.0013076,2.50619201660156e-05
0.0013077,4.25216064453125e-05
0.0013078,3.80089721679688e-05
0.0013079,4.06263122558594e-05
0.001308,3.56982116699219e-05
0.0013081,3.1743896484375e-05
0.0013082,3.94150390625e-05
0.0013083,2.54131164550781e-05
0.0013084,4.90456848144531e-05
0.0013085,4.60983276367188e-05
0.0013086,3.987890625e-05
0.0013087,4.8701171875e-05
0.0013088,3.14851684570313e-05
0.0013089,3.42932739257813e-05
0.001309,5.25800170898437e-05
0.0013091,3.22479858398438e-05
0.0013092,2.64039916992188e-05
0.0013093,2.92269897460938e-05
0.0013094,3.41521301269531e-05
0.0013095,4.8421630859375e-05
0.0013096,4.14337768554687e-05
0.0013097,2.98705749511719e-05
0.0013098,3.0852783203125e-05
0.0013099,3.17025451660156e-05
0.00131,3.5095458984375e-05
0.0013101,3.79721374511719e-05
0.0013102,3.21971130371094e-05
0.0013103,2.87637939453125e-05
0.0013104,2.23157043457031e-05
0.0013105,3.0766357421875e-05
0.0013106,3.67409057617188e-05
0.0013107,4.65237731933594e-05
0.0013108,3.71515808105469e-05
0.0013109,1.79344177246094e-05
0.001311,4.15863647460937e-05
0.0013111,3.46920166015625e-05
0.0013112,3.88669128417969e-05
0.0013113,3.39647521972656e-05
0.0013114,2.68502502441406e-05
0.0013115,3.21824645996094e-05
0.0013116,3.79575805664063e-05
0.0013117,2.68521118164063e-05
0.0013118,1.88240356445312e-05
0.0013119,2.92911987304687e-05
0.001312,4.23788452148437e-05
0.0013121,3.0162353515625e-05
0.0013122,2.23539733886719e-05
0.0013123,3.1400390625e-05
0.0013124,4.45657653808594e-05
0.0013125,2.97717895507813e-05
0.0013126,2.13529357910156e-05
0.0013127,2.23031616210937e-05
0.0013128,3.21923217773437e-05
0.0013129,2.01378784179687e-05
0.001313,3.41932983398438e-05
0.0013131,3.1736328125e-05
0.0013132,3.00603637695313e-05
0.0013133,2.02667541503906e-05
0.0013134,3.30874938964844e-05
0.0013135,4.98400268554687e-05
0.0013136,2.36325073242187e-05
0.0013137,3.12597961425781e-05
0.0013138,3.95020446777344e-05
0.0013139,4.18365173339844e-05
0.001314,2.23367919921875e-05
0.0013141,3.24913635253906e-05
0.0013142,1.51202087402344e-05
0.0013143,3.37280578613281e-05
0.0013144,3.03922729492187e-05
0.0013145,4.58473815917969e-05
0.0013146,3.5693359375e-05
0.0013147,3.25931091308594e-05
0.0013148,3.46455993652344e-05
0.0013149,2.17240600585937e-05
0.001315,2.72482299804688e-05
0.0013151,3.40416564941406e-05
0.0013152,2.94262390136719e-05
0.0013153,3.61194152832031e-05
0.0013154,2.1539306640625e-05
