t,V10,V25,V50,V75,V100,V125,V150,V175,V200
0.0006744,1.50279235839844e-05,2.8043212890625e-05,2.69789123535156e-05,4.51499938964844e-05,7.33456420898437e-05,4.76795959472656e-05,6.318115234375e-05,4.67361450195313e-05,5.72592163085938e-05
0.0006745,2.67349243164063e-05,4.63758850097656e-05,4.976318359375e-05,4.52967834472656e-05,6.08235168457031e-05,5.90603637695312e-05,5.7637939453125e-05,3.98402404785156e-05,3.08338928222656e-05
0.0006746,1.37741088867187e-05,3.50677490234375e-05,5.16311645507813e-05,3.91087341308594e-05,3.05030822753906e-05,4.48100280761719e-05,1.24440002441406e-05,4.80195617675781e-05,4.43315124511719e-05
0.0006747,8.9630126953125e-07,3.53125e-05,5.15609741210938e-05,5.34803771972656e-05,3.20454406738281e-05,2.53282165527344e-05,5.23834228515625e-06,2.68074035644531e-05,-2.60910034179688e-06
0.0006748,2.30613708496094e-05,1.40750122070313e-05,1.96298217773437e-05,5.96600341796875e-05,3.82081604003906e-05,1.34765625e-05,1.38670349121094e-05,-2.79067993164063e-06,-3.00979614257813e-05
0.0006749,3.14515686035156e-05,1.48393249511719e-05,3.980712890625e-06,3.57492065429687e-05,3.55752563476562e-05,1.10919189453125e-05,-1.50021362304688e-05,-1.64152526855469e-05,-4.30093383789062e-05
0.000675,5.93675231933594e-05,2.822265625e-05,1.65101623535156e-05,6.6265869140625e-06,9.27230834960938e-06,-2.77862548828125e-07,-3.24809265136719e-05,-5.05012512207031e-05,-3.47608947753906e-05
0.0006751,2.7816162109375e-05,2.48358154296875e-05,8.71917724609375e-06,-9.90158081054688e-06,-7.31735229492187e-06,-1.44770812988281e-05,-5.21046447753906e-05,-4.37274169921875e-05,-6.07954406738281e-05
0.0006752,-4.9273681640625e-06,2.27841186523438e-05,2.81462097167969e-05,2.20474243164063e-06,-5.6451416015625e-06,-2.44932556152344e-05,-6.49496459960938e-05,-4.768798828125e-05,-4.62269592285156e-05
0.0006753,2.44491577148438e-06,2.26919555664062e-05,-2.9296875e-08,3.95309448242188e-05,5.02166748046875e-07,2.32574462890625e-06,-6.05778503417969e-05,-5.40933227539062e-05,-7.45948791503906e-05
0.0006754,4.21333312988281e-05,1.91239929199219e-05,2.23446655273438e-05,1.56182861328125e-05,1.17878723144531e-05,-2.52366638183594e-05,-2.94998168945313e-05,-6.39387512207031e-05,-3.95610046386719e-05
0.0006755,2.86196899414063e-05,4.68916320800781e-05,2.29127502441406e-05,2.64543151855469e-05,2.46487426757813e-05,1.21975708007813e-05,-3.29348754882813e-05,-3.4847412109375e-05,-5.4393310546875e-05
0.0006756,4.82763671875e-05,3.32792663574219e-05,5.11868286132813e-05,3.77027893066406e-05,4.478759765625e-06,1.41239929199219e-05,-3.08181762695312e-06,-1.94868469238281e-05,-2.41973876953125e-06
0.0006757,4.78659057617188e-05,3.33786010742188e-05,4.27464294433594e-05,3.58062744140625e-05,6.73605346679688e-05,3.88478088378906e-05,1.69136047363281e-05,2.71749877929687e-05,1.4825439453125e-05
0.0006758,3.38882446289062e-05,3.02607727050781e-05,4.915771484375e-05,7.69163513183594e-05,6.06736755371094e-05,7.9530029296875e-05,4.88801574707031e-05,4.42509460449219e-05,4.96641540527344e-05
0.0006759,3.42369079589844e-05,4.08670043945313e-05,8.38381958007812e-05,0.000105138854980469,0.000105166473388672,8.46441650390625e-05,8.83114624023438e-05,0.000101316833496094,0.000129942474365234
0.000676,3.31289672851563e-05,4.70394897460938e-05,5.55984497070312e-05,9.28048706054688e-05,0.000118419799804688,0.000109478912353516,0.00012436767578125,0.000160673217773438,0.000163301239013672
0.0006761,3.3448486328125e-05,5.26905822753906e-05,6.55720520019531e-05,8.1273193359375e-05,0.000127600250244141,0.000129574127197266,0.000117657775878906,0.00014353271484375,0.000157969665527344
0.0006762,1.69412231445313e-05,2.78761291503906e-05,7.49406433105469e-05,0.000105313720703125,0.000123190612792969,0.000123043518066406,0.00012315673828125,0.000125688781738281,0.000154587097167969
0.0006763,1.68208312988281e-05,2.51678466796875e-05,8.16578674316406e-05,0.0001055810546875,9.24998474121094e-05,0.000129672241210938,8.59202575683594e-05,0.000115722198486328,0.00013923583984375
0.0006764,2.29833984375e-05,4.427978515625e-05,8.45939636230469e-05,7.93367004394531e-05,7.47071838378906e-05,0.000104762573242188,6.3236083984375e-05,9.48973083496094e-05,7.86253356933594e-05
0.0006765,3.16789245605469e-05,5.765625e-05,4.708984375e-05,7.17510986328125e-05,7.83821105957031e-05,7.09803771972656e-05,6.98759460449219e-05,6.26188659667969e-05,6.80656433105469e-05
0.0006766,1.42689514160156e-05,4.49229431152344e-05,3.85865783691406e-05,4.84738159179687e-05,6.77116394042969e-05,5.76513671875e-05,3.51774597167969e-05,5.511474609375e-05,5.78428649902344e-05
0.0006767,4.03392028808594e-05,1.41143798828125e-07,4.09478759765625e-05,2.23681640625e-05,2.46516418457031e-05,3.30308532714844e-05,3.40449523925781e-05,2.56272888183594e-05,2.78912353515625e-05
0.0006768,2.72364807128906e-05,2.31242370605469e-05,5.41523742675781e-05,2.54631042480469e-05,3.48196411132813e-05,1.97535705566406e-05,2.40238952636719e-05,1.28733825683594e-05,1.03691101074219e-05
0.0006769,2.87562561035156e-05,1.72746276855469e-05,3.00382995605469e-05,2.58302307128906e-05,3.1510009765625e-05,7.09182739257812e-06,-1.24690246582031e-05,-1.73344421386719e-05,-2.62736511230469e-05
0.000677,1.36265563964844e-05,1.74295043945313e-05,3.40257263183594e-05,2.48562622070313e-05,3.00413513183594e-05,-7.06863403320313e-06,-3.67105102539063e-05,-3.74740600585938e-05,-3.37174987792969e-05
0.0006771,2.29547119140625e-05,2.67694091796875e-05,2.93962097167969e-05,2.1346435546875e-05,1.44973754882812e-06,-3.35055541992187e-05,-5.61174011230469e-05,-5.10093688964844e-05,-5.42770385742187e-05
0.0006772,1.34527587890625e-05,9.434814453125e-06,7.48001098632813e-06,1.24708557128906e-05,-1.0467529296875e-05,-2.09033203125e-05,-5.61526489257813e-05,-4.8692626953125e-05,-7.5638427734375e-05
0.0006773,1.1807861328125e-05,2.55455017089844e-05,2.71470642089844e-05,3.67431640625e-06,4.06520080566406e-05,-9.2681884765625e-06,-3.17742919921875e-05,-4.25761413574219e-05,-6.4266357421875e-05
0.0006774,3.450439453125e-05,6.49459838867188e-06,5.66972351074219e-05,1.98283386230469e-05,1.373291015625e-07,1.72286987304688e-06,-2.55020141601563e-05,-2.81977844238281e-05,-5.0101318359375e-05
0.0006775,3.53910827636719e-05,3.58940124511719e-05,4.09317016601563e-05,3.12913513183594e-05,2.43641662597656e-05,9.2181396484375e-06,-4.21995544433594e-05,-4.04718017578125e-05,-3.83683776855469e-05
0.0006776,2.80390930175781e-05,6.524169921875e-05,1.78602600097656e-05,2.88957214355469e-05,3.75263977050781e-05,1.88322448730469e-05,-3.91230773925781e-05,-1.475830078125e-05,7.45864868164063e-06
0.0006777,2.41903686523437e-05,5.93646240234375e-05,4.48576354980469e-05,4.80754089355469e-05,5.54975891113281e-05,2.00694274902344e-05,2.30381774902344e-05,-2.53448486328125e-06,1.9482421875e-06
0.0006778,1.75079345703125e-06,1.72611999511719e-05,2.97947692871094e-05,1.97709655761719e-05,4.03518676757812e-05,4.79570007324219e-05,2.09890747070312e-05,2.07894897460938e-05,2.08798217773437e-05
0.0006779,5.44586181640625e-07,4.66230773925781e-05,5.852783203125e-05,3.20608520507813e-05,4.54151916503906e-05,5.12757873535156e-05,3.75102233886719e-05,3.27438354492188e-05,1.93423461914062e-05
0.000678,3.50953674316406e-05,4.83381652832031e-05,4.34542846679688e-05,3.95860290527344e-05,4.43470764160156e-05,3.3463134765625e-05,3.74784851074219e-05,3.86383056640625e-05,5.07196044921875e-05
0.0006781,3.481689453125e-05,3.9638671875e-05,3.34230041503906e-05,5.19110107421875e-05,6.56832885742187e-05,4.34405517578125e-05,3.57464599609375e-05,1.9366455078125e-05,6.92402648925781e-05
0.0006782,2.96109008789062e-05,5.24850463867187e-05,4.07176208496094e-05,7.11970520019531e-05,4.74641418457031e-05,3.26506042480469e-05,1.51576232910156e-05,4.14292907714844e-05,3.69952392578125e-05
